epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14678,1.44936,0.71738,1.39373,0.92416,0.88257,0.94136,0.56426,1.3434,0.59412,1.47197,0.005842,0.005842,0.005842
44,15015.9,1.44581,0.71622,1.39388,0.92243,0.88525,0.9453,0.56507,1.34014,0.5948,1.46603,0.005743,0.005743,0.005743
45,15354.2,1.44423,0.7133,1.39355,0.9218,0.88,0.94063,0.56685,1.34161,0.59335,1.46502,0.005644,0.005644,0.005644
46,15703.3,1.44342,0.7116,1.38842,0.92466,0.87822,0.94259,0.56946,1.33382,0.59037,1.4583,0.005545,0.005545,0.005545
47,16041.7,1.43737,0.70853,1.39009,0.92135,0.88182,0.94286,0.57089,1.33044,0.58773,1.45998,0.005446,0.005446,0.005446
48,16380.6,1.43598,0.70614,1.37807,0.92351,0.88378,0.94423,0.57242,1.33019,0.58558,1.45274,0.005347,0.005347,0.005347
49,16719.4,1.43633,0.70357,1.37404,0.91969,0.89231,0.94621,0.57197,1.3314,0.58253,1.45078,0.005248,0.005248,0.005248
50,17058.6,1.43301,0.70086,1.3733,0.92675,0.88331,0.94571,0.57511,1.32588,0.58093,1.44987,0.005149,0.005149,0.005149
51,17396.8,1.4379,0.70054,1.37528,0.92518,0.89182,0.94813,0.57546,1.3243,0.57974,1.44237,0.00505,0.00505,0.00505
52,17735.8,1.42096,0.69419,1.36394,0.92668,0.89164,0.94939,0.57554,1.32648,0.57765,1.4426,0.004951,0.004951,0.004951
53,18074.5,1.42121,0.69187,1.36849,0.92486,0.89257,0.9493,0.57696,1.32209,0.57637,1.44107,0.004852,0.004852,0.004852
54,18413.6,1.42494,0.69437,1.36317,0.92555,0.88957,0.9491,0.57655,1.32234,0.57455,1.4385,0.004753,0.004753,0.004753
55,18752.5,1.42322,0.69224,1.3596,0.9281,0.88854,0.94823,0.57826,1.32065,0.57197,1.43571,0.004654,0.004654,0.004654
56,19859,1.42027,0.69043,1.35583,0.92643,0.89098,0.94715,0.5784,1.32134,0.57141,1.43427,0.004555,0.004555,0.004555
57,21081.7,1.41717,0.68586,1.3555,0.92505,0.89222,0.94824,0.57976,1.31804,0.56952,1.42934,0.004456,0.004456,0.004456
58,22303.5,1.41369,0.68649,1.35056,0.92985,0.89475,0.95052,0.58218,1.31586,0.56627,1.42573,0.004357,0.004357,0.004357
59,23523.4,1.4068,0.6802,1.3487,0.93363,0.89315,0.95126,0.58138,1.31549,0.56501,1.4234,0.004258,0.004258,0.004258
60,24746,1.41216,0.68337,1.34345,0.93263,0.89544,0.95234,0.58314,1.31396,0.56408,1.4216,0.004159,0.004159,0.004159
61,25874.7,1.4027,0.67728,1.33854,0.93642,0.89441,0.95254,0.58495,1.31387,0.5632,1.42021,0.00406,0.00406,0.00406
62,27095.2,1.40726,0.67828,1.33938,0.93322,0.89747,0.95222,0.58492,1.3124,0.56227,1.41654,0.003961,0.003961,0.003961
63,28316.8,1.40211,0.67242,1.3379,0.93755,0.89733,0.95282,0.58488,1.31203,0.56105,1.41647,0.003862,0.003862,0.003862
64,29537.9,1.40041,0.67535,1.3359,0.93405,0.89919,0.95316,0.58545,1.31113,0.55994,1.41483,0.003763,0.003763,0.003763
65,30759.3,1.39981,0.67276,1.32855,0.93185,0.90108,0.95354,0.58733,1.31039,0.55833,1.41321,0.003664,0.003664,0.003664
66,31922.5,1.39583,0.66842,1.33344,0.93238,0.90307,0.95373,0.58702,1.30883,0.5567,1.41066,0.003565,0.003565,0.003565
67,33102.2,1.39464,0.66719,1.3263,0.93438,0.90149,0.95454,0.58779,1.30827,0.5564,1.40853,0.003466,0.003466,0.003466
68,33787.7,1.39278,0.66697,1.32907,0.93516,0.90121,0.95628,0.58967,1.30749,0.55572,1.4071,0.003367,0.003367,0.003367
69,34970.7,1.3958,0.66654,1.32047,0.93222,0.90023,0.95608,0.59083,1.30611,0.55428,1.40281,0.003268,0.003268,0.003268
70,36153,1.38853,0.66081,1.32035,0.93434,0.90101,0.95617,0.58958,1.30666,0.5543,1.40207,0.003169,0.003169,0.003169
71,37379.4,1.38116,0.65812,1.31864,0.93582,0.90054,0.95602,0.5898,1.30647,0.55325,1.40067,0.00307,0.00307,0.00307
72,38319.7,1.38218,0.65831,1.31219,0.93445,0.90119,0.95644,0.59071,1.30516,0.55199,1.3987,0.002971,0.002971,0.002971
73,38664.8,1.38234,0.65471,1.31196,0.93345,0.90163,0.95627,0.5913,1.30444,0.54988,1.39636,0.002872,0.002872,0.002872
74,39008.4,1.38169,0.654,1.31018,0.93882,0.89766,0.9564,0.59175,1.30403,0.54941,1.39517,0.002773,0.002773,0.002773
75,39352.1,1.37256,0.64946,1.30678,0.93748,0.89919,0.95642,0.59274,1.30318,0.54849,1.39285,0.002674,0.002674,0.002674
76,39701.3,1.37313,0.64976,1.30516,0.93593,0.90184,0.95706,0.59368,1.30231,0.54761,1.39105,0.002575,0.002575,0.002575
77,40044.7,1.37289,0.65078,1.30319,0.9369,0.90305,0.95735,0.59319,1.30231,0.54738,1.39025,0.002476,0.002476,0.002476
78,40389,1.36916,0.64493,1.29756,0.93344,0.90739,0.95773,0.59357,1.30164,0.54614,1.38893,0.002377,0.002377,0.002377
79,40732.4,1.36975,0.64676,1.30087,0.93364,0.90722,0.95756,0.59379,1.30137,0.54506,1.38819,0.002278,0.002278,0.002278
80,41074.6,1.36996,0.64578,1.30157,0.93345,0.90905,0.95743,0.59389,1.30024,0.54438,1.38659,0.002179,0.002179,0.002179
81,41418.6,1.37247,0.646,1.29634,0.93311,0.91021,0.95717,0.59409,1.29951,0.54372,1.38557,0.00208,0.00208,0.00208
