epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16091,1.41963,0.6603,1.1624,0.89739,0.85274,0.914,0.53791,1.3567,0.59629,1.24937,0.005842,0.005842,0.005842
44,16464.1,1.41308,0.65346,1.15827,0.89404,0.85379,0.91285,0.53472,1.35912,0.59665,1.2509,0.005743,0.005743,0.005743
45,16837.3,1.41904,0.65554,1.16548,0.90893,0.84738,0.91522,0.53962,1.35268,0.59339,1.24613,0.005644,0.005644,0.005644
46,17210.6,1.40635,0.6491,1.15752,0.89847,0.85817,0.91739,0.53979,1.34762,0.58994,1.24391,0.005545,0.005545,0.005545
47,17583.3,1.41237,0.65126,1.16255,0.90699,0.85801,0.92024,0.54215,1.34851,0.59014,1.24442,0.005446,0.005446,0.005446
48,17956.5,1.40502,0.6488,1.1547,0.91071,0.85154,0.92019,0.54298,1.34926,0.5903,1.24389,0.005347,0.005347,0.005347
49,18330,1.40347,0.64634,1.15661,0.90718,0.85569,0.91985,0.54139,1.3484,0.59019,1.2435,0.005248,0.005248,0.005248
50,18703,1.40693,0.64664,1.15446,0.90603,0.86078,0.91972,0.54394,1.34228,0.58549,1.24072,0.005149,0.005149,0.005149
51,19076.2,1.3979,0.64296,1.15396,0.90657,0.85889,0.92023,0.54442,1.33978,0.58215,1.23941,0.00505,0.00505,0.00505
52,19449.8,1.39767,0.64105,1.15445,0.90744,0.86396,0.92274,0.54714,1.33811,0.58103,1.23847,0.004951,0.004951,0.004951
53,19822.6,1.39331,0.63992,1.15163,0.90264,0.86167,0.92106,0.54612,1.34326,0.58239,1.24116,0.004852,0.004852,0.004852
54,20195.3,1.38803,0.63509,1.1504,0.9058,0.86376,0.91982,0.54683,1.34017,0.58184,1.23891,0.004753,0.004753,0.004753
55,20568.4,1.39406,0.6373,1.15284,0.90643,0.86178,0.92127,0.54662,1.33727,0.57961,1.23683,0.004654,0.004654,0.004654
56,20942.1,1.38382,0.6317,1.14858,0.90884,0.86358,0.92243,0.54663,1.3406,0.57857,1.23905,0.004555,0.004555,0.004555
57,21315.2,1.38447,0.6332,1.14933,0.91546,0.86063,0.92443,0.54737,1.33608,0.57665,1.23702,0.004456,0.004456,0.004456
58,21688.2,1.38345,0.63125,1.14861,0.91624,0.86347,0.92759,0.55152,1.33105,0.57449,1.23371,0.004357,0.004357,0.004357
59,22061,1.38524,0.63132,1.15082,0.91192,0.86818,0.92814,0.55179,1.33169,0.57392,1.23384,0.004258,0.004258,0.004258
60,22434.6,1.37864,0.6276,1.14384,0.91301,0.86483,0.92553,0.55095,1.33081,0.57292,1.23293,0.004159,0.004159,0.004159
61,22807.5,1.38232,0.6306,1.14968,0.91513,0.86657,0.92476,0.55061,1.33079,0.57369,1.23307,0.00406,0.00406,0.00406
62,23180.5,1.37503,0.62702,1.14727,0.91014,0.86615,0.9256,0.5522,1.32778,0.57186,1.23124,0.003961,0.003961,0.003961
63,23553.4,1.373,0.62366,1.14263,0.90905,0.86732,0.92529,0.55191,1.32422,0.57061,1.22911,0.003862,0.003862,0.003862
64,23926.7,1.37517,0.62426,1.14157,0.90807,0.8708,0.92556,0.55241,1.32537,0.57083,1.2296,0.003763,0.003763,0.003763
65,24300.4,1.36911,0.62135,1.13784,0.91039,0.86891,0.92569,0.5536,1.32332,0.5685,1.22872,0.003664,0.003664,0.003664
66,24673.5,1.37047,0.62098,1.14246,0.91324,0.86836,0.92695,0.55422,1.32255,0.56684,1.22828,0.003565,0.003565,0.003565
67,25046.4,1.36941,0.6196,1.14083,0.91485,0.86732,0.9272,0.55564,1.32243,0.56558,1.22783,0.003466,0.003466,0.003466
68,25419.6,1.36268,0.61785,1.13717,0.91241,0.87016,0.92745,0.55476,1.32308,0.56572,1.22798,0.003367,0.003367,0.003367
69,25793.2,1.36597,0.61616,1.13393,0.91303,0.86936,0.92718,0.5556,1.32349,0.56554,1.22821,0.003268,0.003268,0.003268
70,26166.3,1.36166,0.61533,1.13672,0.9123,0.87239,0.92839,0.55697,1.32278,0.56417,1.22783,0.003169,0.003169,0.003169
71,26539.2,1.36323,0.6147,1.13447,0.91584,0.87205,0.9295,0.55785,1.32238,0.56353,1.22741,0.00307,0.00307,0.00307
72,26912.6,1.35896,0.61333,1.13631,0.91261,0.8752,0.92962,0.55829,1.3213,0.5622,1.22722,0.002971,0.002971,0.002971
73,27285.8,1.35597,0.61226,1.13592,0.91405,0.87528,0.929,0.55813,1.32057,0.56164,1.2269,0.002872,0.002872,0.002872
74,27658.9,1.35641,0.61121,1.13714,0.91521,0.87321,0.92928,0.55784,1.32026,0.56141,1.22641,0.002773,0.002773,0.002773
75,28031.6,1.34956,0.6085,1.13487,0.91176,0.87649,0.92823,0.55795,1.31956,0.56092,1.22631,0.002674,0.002674,0.002674
76,28404,1.35223,0.60806,1.13469,0.9148,0.8747,0.92902,0.55836,1.31986,0.56082,1.22646,0.002575,0.002575,0.002575
