epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9549.74,1.42293,0.64011,1.17008,0.89936,0.85744,0.91089,0.53273,1.36086,0.57504,1.25506,0.005842,0.005842,0.005842
44,9769.62,1.42016,0.63746,1.17554,0.89527,0.85795,0.91105,0.53442,1.35619,0.5713,1.25109,0.005743,0.005743,0.005743
45,9989.57,1.41803,0.6349,1.17128,0.89885,0.85817,0.91377,0.53785,1.35369,0.56809,1.24969,0.005644,0.005644,0.005644
46,10210.6,1.41536,0.63543,1.16859,0.90117,0.86028,0.91187,0.53432,1.35438,0.57132,1.25136,0.005545,0.005545,0.005545
47,10430.5,1.41565,0.63433,1.17034,0.89967,0.86101,0.91198,0.53797,1.35334,0.56741,1.25146,0.005446,0.005446,0.005446
48,10650.7,1.41206,0.6306,1.16714,0.90459,0.86585,0.91876,0.54159,1.35058,0.56242,1.25023,0.005347,0.005347,0.005347
49,10871.3,1.40899,0.62759,1.16272,0.90985,0.86196,0.91764,0.5425,1.34862,0.56324,1.24819,0.005248,0.005248,0.005248
50,11090.2,1.40874,0.62837,1.16177,0.90437,0.86808,0.9181,0.54249,1.3451,0.56107,1.2461,0.005149,0.005149,0.005149
51,11310.5,1.41249,0.62749,1.16515,0.90965,0.8612,0.91875,0.5432,1.34298,0.56073,1.24479,0.00505,0.00505,0.00505
52,11530.4,1.39922,0.62183,1.15952,0.90424,0.86882,0.91929,0.54486,1.34507,0.56048,1.24671,0.004951,0.004951,0.004951
53,11750.2,1.39845,0.61941,1.1587,0.90622,0.86859,0.92211,0.54605,1.34069,0.55665,1.24383,0.004852,0.004852,0.004852
54,11970,1.39939,0.61977,1.15805,0.90715,0.86701,0.92019,0.54466,1.34176,0.5555,1.24454,0.004753,0.004753,0.004753
55,12190.3,1.39891,0.62286,1.15722,0.91007,0.86523,0.92097,0.54558,1.33693,0.55427,1.24115,0.004654,0.004654,0.004654
56,12410.3,1.39964,0.62034,1.15559,0.90872,0.86465,0.9199,0.54562,1.33832,0.55418,1.24151,0.004555,0.004555,0.004555
57,12630.5,1.39664,0.61776,1.16027,0.90877,0.87065,0.92157,0.54761,1.33606,0.55221,1.23973,0.004456,0.004456,0.004456
58,12850.4,1.38987,0.61637,1.15665,0.90426,0.87177,0.92244,0.54727,1.33543,0.55278,1.2387,0.004357,0.004357,0.004357
59,13070.5,1.38616,0.61469,1.15676,0.90557,0.87078,0.92233,0.54877,1.33221,0.55019,1.23659,0.004258,0.004258,0.004258
60,13290.8,1.38965,0.61429,1.15267,0.90371,0.87367,0.92241,0.54881,1.3341,0.54953,1.23771,0.004159,0.004159,0.004159
61,13511.9,1.38152,0.61023,1.15153,0.90525,0.87174,0.92143,0.54805,1.332,0.54926,1.2366,0.00406,0.00406,0.00406
62,13731.5,1.38634,0.61179,1.15161,0.90969,0.87114,0.92392,0.54909,1.33044,0.54759,1.23592,0.003961,0.003961,0.003961
63,13951.6,1.3782,0.60738,1.14702,0.9133,0.86954,0.92551,0.55171,1.33056,0.54656,1.236,0.003862,0.003862,0.003862
64,14171.3,1.37783,0.60774,1.14961,0.91279,0.87096,0.92454,0.55236,1.32801,0.54435,1.23479,0.003763,0.003763,0.003763
65,14390.4,1.38002,0.60824,1.14711,0.91158,0.87036,0.92472,0.55328,1.32888,0.54538,1.23461,0.003664,0.003664,0.003664
66,14610.4,1.37548,0.60194,1.15027,0.91334,0.87071,0.92492,0.55373,1.3292,0.54418,1.23463,0.003565,0.003565,0.003565
67,14830.7,1.37281,0.60069,1.14585,0.91521,0.86916,0.92476,0.55357,1.32835,0.54368,1.23406,0.003466,0.003466,0.003466
68,15050.8,1.37322,0.60265,1.15099,0.91603,0.86989,0.9265,0.55504,1.32648,0.54303,1.23327,0.003367,0.003367,0.003367
69,15269.5,1.37359,0.60138,1.14325,0.91626,0.8723,0.92663,0.55519,1.325,0.54167,1.23233,0.003268,0.003268,0.003268
70,15489.3,1.36877,0.59911,1.14416,0.91527,0.87371,0.9271,0.55647,1.325,0.54141,1.23225,0.003169,0.003169,0.003169
71,15709.9,1.36263,0.5966,1.14416,0.91532,0.87763,0.92829,0.55697,1.32437,0.54142,1.23202,0.00307,0.00307,0.00307
72,15930.6,1.36182,0.59544,1.13971,0.91425,0.87923,0.92927,0.55753,1.32328,0.54023,1.23122,0.002971,0.002971,0.002971
73,16149.7,1.36165,0.59169,1.14196,0.91589,0.87768,0.93011,0.5576,1.32284,0.53928,1.23089,0.002872,0.002872,0.002872
74,16369.4,1.363,0.59166,1.13889,0.91344,0.87743,0.92863,0.55677,1.32314,0.53914,1.23098,0.002773,0.002773,0.002773
